num_nodes,num_keys,checkpoint,checkpoint_scan,checkpoint_network,checkpoint_verify,checkpoint_update
100,60000000,1015.50336,77.62348,673.80457,84.38113,176.83888
100,60000000,1015.55383,82.428856,676.87537,84.76879,168.9136
100,60000000,1015.5978,89.4859,669.1817,84.01165,170.23492
100,60000000,1015.7499,72.97915,679.04193,82.63589,179.63043
100,60000000,1015.2789,80.89417,695.93665,83.12263,153.82707
100,60000000,1015.82086,109.53907,640.31146,84.032455,179.20203
100,60000000,1015.7828,81.61371,674.2774,84.05802,173.13614
100,60000000,1015.6096,105.35495,647.8144,84.44086,176.5311
100,60000000,1016.1247,84.254005,660.8286,83.31849,186.00034
100,60000000,1016.2454,89.29002,663.1623,83.434364,178.8945
100,60000000,1017.93036,102.5576,542.38135,85.64846,285.18442
100,60000000,1019.4654,98.61022,530.2777,86.933975,300.09073
100,60000000,1019.9501,102.5023,535.7519,85.89257,292.31323
100,60000000,1019.8149,122.31468,514.5401,86.411476,292.92847
100,60000000,1019.94666,121.60623,541.8379,85.387924,267.47403
100,60000000,1020.0534,122.102036,520.29224,88.13709,286.02936
100,60000000,1020.0331,101.30955,539.25635,87.17334,288.74872
100,60000000,1020.062,104.12167,534.0061,88.240135,290.1731
100,60000000,1020.34753,99.46247,548.0716,86.3841,282.80695
100,60000000,1020.59033,100.508965,529.51154,86.637856,300.19098
100,60000000,1020.5292,115.970665,520.4486,86.40762,295.83203
100,60000000,1020.7193,119.235146,533.3518,86.48557,278.17935
100,60000000,1020.59937,98.721214,557.08386,85.6299,276.8412
100,60000000,1020.83167,109.10107,528.9764,86.37295,292.63806
100,60000000,1020.87213,111.96816,529.61584,85.46966,291.5645
100,60000000,1020.7691,97.61981,526.89984,88.27168,304.43942
100,60000000,1020.6467,112.45883,530.90594,84.967064,290.43744
100,60000000,1020.90857,104.873695,528.70825,85.84887,299.4977
100,60000000,1021.0486,114.008194,535.1211,88.470184,279.84
100,60000000,1020.8144,108.67116,541.92224,87.8394,279.01456
100,60000000,1020.78485,118.23623,519.4482,86.354546,294.86612
100,60000000,1021.128,98.98273,525.19635,85.48059,309.179
100,60000000,1021.02374,114.92708,518.51434,85.79569,299.71872
100,60000000,1021.0382,105.46332,537.15234,84.83021,291.50485
100,60000000,1021.03284,109.868805,537.6784,85.51338,285.99835
100,60000000,1021.24384,111.61768,555.7843,85.7009,266.10623
100,60000000,1021.1014,100.42277,543.3207,85.83649,289.54944
100,60000000,1021.1652,104.899155,537.48364,84.76377,291.9268
100,60000000,1021.241,128.05377,522.7335,86.49048,280.62305
100,60000000,1021.07404,103.46593,527.67957,86.40615,301.4394
100,60000000,1021.3862,113.37493,538.3747,87.20054,278.89307
100,60000000,1021.04504,100.77998,538.7837,85.71166,293.89102
100,60000000,1021.1331,100.37283,543.37354,85.82531,289.50507
100,60000000,1021.28986,102.26223,537.42755,85.560616,293.9535
100,60000000,1021.3758,99.39261,521.89276,87.274506,310.84393
100,60000000,1021.43097,121.48655,506.91592,86.67792,304.27853
100,60000000,1021.2226,119.71938,506.4561,85.31945,307.68542
100,60000000,1021.4354,100.53692,548.10614,88.224915,282.44476

100,100000000,1665.5547,153.34166,1075.4497,139.96571,291.9815
100,100000000,1669,164.89146,1058.6897,141.10733,300.12744
100,100000000,1669.1263,161.99915,1072.5408,141.07889,289.24854
100,100000000,1668.9406,132.5758,1102.9576,138.49783,292.0443
100,100000000,1669.1614,148.9653,1080.7961,144.01817,291.16998
100,100000000,1668.5928,147.56006,1081.3064,141.58147,295.3018
100,100000000,1668.8,139.58385,1084.8696,141.03854,298.7779
